Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
24with,2022-10-21 13:39:38,Participant 24 with prototype,syn-nikkie24-with.mp4,766.250,30.0,Cloudy,Human,Look up,Human,None,STATE,19.869,21.870,2.001,"INTERIOR
",
24with,2022-10-21 13:39:38,Participant 24 with prototype,syn-nikkie24-with.mp4,766.250,30.0,Cloudy,Human,Look up,Human,TV,STATE,22.619,25.369,2.750,,
24with,2022-10-21 13:39:38,Participant 24 with prototype,syn-nikkie24-with.mp4,766.250,30.0,Cloudy,Human,Look around,Human,"window,TV",STATE,26.869,36.130,9.261,,
24with,2022-10-21 13:39:38,Participant 24 with prototype,syn-nikkie24-with.mp4,766.250,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,27.908,30.410,2.502,,
24with,2022-10-21 13:39:38,Participant 24 with prototype,syn-nikkie24-with.mp4,766.250,30.0,Cloudy,Human,Look up,Human,TV,STATE,40.370,43.620,3.250,,
24with,2022-10-21 13:39:38,Participant 24 with prototype,syn-nikkie24-with.mp4,766.250,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,40.910,43.908,2.998,,
24with,2022-10-21 13:39:38,Participant 24 with prototype,syn-nikkie24-with.mp4,766.250,30.0,Cloudy,Human,Look around,Human,"window,TV",STATE,45.368,60.355,14.987,,
24with,2022-10-21 13:39:38,Participant 24 with prototype,syn-nikkie24-with.mp4,766.250,30.0,Cloudy,Human,Look around,Human,TV,STATE,61.437,67.626,6.189,"AND STEERING WHEEL
",
24with,2022-10-21 13:39:38,Participant 24 with prototype,syn-nikkie24-with.mp4,766.250,30.0,Cloudy,Human,Look up,Human,TV,STATE,83.895,84.872,0.977,,
24with,2022-10-21 13:39:38,Participant 24 with prototype,syn-nikkie24-with.mp4,766.250,30.0,Cloudy,Human,Look around,Human,TV,STATE,94.567,98.481,3.914,,
24with,2022-10-21 13:39:38,Participant 24 with prototype,syn-nikkie24-with.mp4,766.250,30.0,Cloudy,Human,Look around,Human,"window,TV",STATE,101.621,113.875,12.254,,
24with,2022-10-21 13:39:38,Participant 24 with prototype,syn-nikkie24-with.mp4,766.250,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,102.371,109.875,7.504,,
24with,2022-10-21 13:39:38,Participant 24 with prototype,syn-nikkie24-with.mp4,766.250,30.0,Cloudy,Human,Look up,Human,TV,STATE,116.890,117.621,0.731,,
24with,2022-10-21 13:39:38,Participant 24 with prototype,syn-nikkie24-with.mp4,766.250,30.0,Cloudy,Human,Look around,Human,TV,STATE,120.119,128.129,8.010,,
24with,2022-10-21 13:39:38,Participant 24 with prototype,syn-nikkie24-with.mp4,766.250,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,121.872,124.619,2.747,,
