Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
02with,2022-10-11 15:39:34,Partici[ant 02 with prototype.,syn-gp02-with.mp4,768.130,30.0,Rainy,Human,Look around,Human,TV,STATE,19.748,24.870,5.122,,
02with,2022-10-11 15:39:34,Partici[ant 02 with prototype.,syn-gp02-with.mp4,768.130,30.0,Rainy,Human,Look up,Human,TV,STATE,28.333,28.700,0.367,,
02with,2022-10-11 15:39:34,Partici[ant 02 with prototype.,syn-gp02-with.mp4,768.130,30.0,Rainy,Human,Look up,Human,TV,STATE,32.117,34.919,2.802,Looked at foot? and glanced at the TV afterwards.,
02with,2022-10-11 15:39:34,Partici[ant 02 with prototype.,syn-gp02-with.mp4,768.130,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,35.617,41.116,5.499,,
02with,2022-10-11 15:39:34,Partici[ant 02 with prototype.,syn-gp02-with.mp4,768.130,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,36.133,41.630,5.497,,
02with,2022-10-11 15:39:34,Partici[ant 02 with prototype.,syn-gp02-with.mp4,768.130,30.0,Rainy,Human,Look around,Human,TV,STATE,50.527,55.120,4.593,,
02with,2022-10-11 15:39:34,Partici[ant 02 with prototype.,syn-gp02-with.mp4,768.130,30.0,Rainy,Human,Look around,Human,TV,STATE,59.119,91.074,31.955,,
02with,2022-10-11 15:39:34,Partici[ant 02 with prototype.,syn-gp02-with.mp4,768.130,30.0,Rainy,Environment,Trucks,Environment,,STATE,65.633,66.998,1.365,,
02with,2022-10-11 15:39:34,Partici[ant 02 with prototype.,syn-gp02-with.mp4,768.130,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,93.367,99.619,6.252,,
02with,2022-10-11 15:39:34,Partici[ant 02 with prototype.,syn-gp02-with.mp4,768.130,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,95.871,98.368,2.497,,
02with,2022-10-11 15:39:34,Partici[ant 02 with prototype.,syn-gp02-with.mp4,768.130,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,100.617,121.396,20.779,,
02with,2022-10-11 15:39:34,Partici[ant 02 with prototype.,syn-gp02-with.mp4,768.130,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,101.869,105.121,3.252,,
02with,2022-10-11 15:39:34,Partici[ant 02 with prototype.,syn-gp02-with.mp4,768.130,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,108.125,111.119,2.994,,
02with,2022-10-11 15:39:34,Partici[ant 02 with prototype.,syn-gp02-with.mp4,768.130,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,139.369,167.833,28.464,2.35.333:Tried to draw back her attention to the ipad but failed once.,
02with,2022-10-11 15:39:34,Partici[ant 02 with prototype.,syn-gp02-with.mp4,768.130,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,154.132,158.629,4.497,,
02with,2022-10-11 15:39:34,Partici[ant 02 with prototype.,syn-gp02-with.mp4,768.130,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,166.132,169.379,3.247,,
02with,2022-10-11 15:39:34,Partici[ant 02 with prototype.,syn-gp02-with.mp4,768.130,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,168.633,172.733,4.100,,
02with,2022-10-11 15:39:34,Partici[ant 02 with prototype.,syn-gp02-with.mp4,768.130,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,173.871,186.126,12.255,First looked at the foot or the steering wheel,
02with,2022-10-11 15:39:34,Partici[ant 02 with prototype.,syn-gp02-with.mp4,768.130,30.0,Rainy,Human,Look around,Human,TV,STATE,196.736,214.285,17.549,,
02with,2022-10-11 15:39:34,Partici[ant 02 with prototype.,syn-gp02-with.mp4,768.130,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,199.380,201.880,2.500,,
02with,2022-10-11 15:39:34,Partici[ant 02 with prototype.,syn-gp02-with.mp4,768.130,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,215.009,229.870,14.861,,
02with,2022-10-11 15:39:34,Partici[ant 02 with prototype.,syn-gp02-with.mp4,768.130,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,227.867,232.125,4.258,,
