Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
25with,2022-10-23 22:30:50,Participant 25 with prototype,syn-nikkie25-with.mp4,796.800,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,12.368,15.371,3.003,,
25with,2022-10-23 22:30:50,Participant 25 with prototype,syn-nikkie25-with.mp4,796.800,30.0,Rainy,Human,Look up,Human,TV,STATE,66.368,67.380,1.012,,
25with,2022-10-23 22:30:50,Participant 25 with prototype,syn-nikkie25-with.mp4,796.800,30.0,Rainy,Human,Look up,Human,TV,STATE,68.370,69.869,1.499,AND INTERIOR,
25with,2022-10-23 22:30:50,Participant 25 with prototype,syn-nikkie25-with.mp4,796.800,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,71.375,74.874,3.499,,
25with,2022-10-23 22:30:50,Participant 25 with prototype,syn-nikkie25-with.mp4,796.800,30.0,Rainy,Human,Look up,Human,TV,STATE,73.120,74.620,1.500,,
25with,2022-10-23 22:30:50,Participant 25 with prototype,syn-nikkie25-with.mp4,796.800,30.0,Rainy,Human,Look around,Human,TV,STATE,94.368,99.618,5.250,,
25with,2022-10-23 22:30:50,Participant 25 with prototype,syn-nikkie25-with.mp4,796.800,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,104.119,114.369,10.250,Window: overtaking a car in the beside lane. Very close to the pariticipant.,
25with,2022-10-23 22:30:50,Participant 25 with prototype,syn-nikkie25-with.mp4,796.800,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,109.376,111.874,2.498,,
25with,2022-10-23 22:30:50,Participant 25 with prototype,syn-nikkie25-with.mp4,796.800,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,118.378,120.875,2.497,,
25with,2022-10-23 22:30:50,Participant 25 with prototype,syn-nikkie25-with.mp4,796.800,30.0,Rainy,Human,Look up,Human,TV,STATE,135.868,138.117,2.249,,
25with,2022-10-23 22:30:50,Participant 25 with prototype,syn-nikkie25-with.mp4,796.800,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,138.624,140.622,1.998,,
25with,2022-10-23 22:30:50,Participant 25 with prototype,syn-nikkie25-with.mp4,796.800,30.0,Rainy,Human,Look up,Human,None,STATE,176.620,177.620,1.000,INTERIOR,
25with,2022-10-23 22:30:50,Participant 25 with prototype,syn-nikkie25-with.mp4,796.800,30.0,Rainy,Human,Look around,Human,TV,STATE,183.119,190.371,7.252,,
25with,2022-10-23 22:30:50,Participant 25 with prototype,syn-nikkie25-with.mp4,796.800,30.0,Rainy,Environment,Construction,Environment,,STATE,183.126,281.122,97.996,,
25with,2022-10-23 22:30:50,Participant 25 with prototype,syn-nikkie25-with.mp4,796.800,30.0,Rainy,Human,Look up,Human,TV,STATE,202.867,204.368,1.501,,
25with,2022-10-23 22:30:50,Participant 25 with prototype,syn-nikkie25-with.mp4,796.800,30.0,Rainy,Human,Look around,Human,TV,STATE,209.119,217.370,8.251,And play with the pen,
25with,2022-10-23 22:30:50,Participant 25 with prototype,syn-nikkie25-with.mp4,796.800,30.0,Rainy,Human,Look up,Human,TV,STATE,219.620,221.870,2.250,,
25with,2022-10-23 22:30:50,Participant 25 with prototype,syn-nikkie25-with.mp4,796.800,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,239.624,248.871,9.247,,
25with,2022-10-23 22:30:50,Participant 25 with prototype,syn-nikkie25-with.mp4,796.800,30.0,Rainy,Human,Other behaviours,Human,,STATE,251.618,255.870,4.252,Touch hair and sleeve,
25with,2022-10-23 22:30:50,Participant 25 with prototype,syn-nikkie25-with.mp4,796.800,30.0,Rainy,Human,Look up,Human,TV,STATE,253.869,255.869,2.000,,
25with,2022-10-23 22:30:50,Participant 25 with prototype,syn-nikkie25-with.mp4,796.800,30.0,Rainy,Human,Look around,Human,TV,STATE,257.869,261.870,4.001,,
25with,2022-10-23 22:30:50,Participant 25 with prototype,syn-nikkie25-with.mp4,796.800,30.0,Rainy,Human,Look up,Human,TV,STATE,290.119,291.371,1.252,,
