Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look up,Human,TV,STATE,5.873,7.121,1.248,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look around,Human,TV,STATE,7.868,15.121,7.253,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,38.233,41.300,3.067,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,39.371,42.371,3.000,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,53.281,59.874,6.593,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,71.371,73.369,1.998,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,79.120,81.867,2.747,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,81.869,85.125,3.256,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,107.872,110.871,2.999,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,108.785,128.370,19.585,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,115.873,118.633,2.760,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Other behaviours,Human,,STATE,116.876,119.869,2.993,yawn;look at ipad once,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,142.120,144.622,2.502,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,148.869,151.379,2.510,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,153.130,160.120,6.990,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,153.621,155.128,1.507,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,186.619,205.624,19.005,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,191.620,194.624,3.004,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,222.369,224.621,2.252,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,227.873,231.123,3.250,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look around,Human,TV,STATE,234.369,240.373,6.004,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,254.122,256.870,2.748,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,258.872,261.129,2.257,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Environment,Trucks,Environment,,STATE,261.120,264.833,3.713,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,261.125,268.370,7.245,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,267.371,270.120,2.749,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,274.868,281.620,6.752,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,328.119,330.868,2.749,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look around,Human,TV,STATE,330.368,335.871,5.503,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,334.079,336.872,2.793,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look up,Human,TV,STATE,336.663,337.800,1.137,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look up,Human,TV,STATE,346.118,348.624,2.506,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,364.380,367.127,2.747,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Environment,Trucks,Environment,,STATE,369.871,372.400,2.529,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,370.000,372.500,2.500,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,378.483,386.870,8.387,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Other behaviours,Human,,STATE,383.620,386.869,3.249,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look around,Human,None,STATE,387.873,391.622,3.749,"not for catching info, just look at the interior",
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look up,Human,TV,STATE,396.368,397.623,1.255,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Environment,Turning,Environment,,STATE,405.119,416.367,11.248,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look up,Human,"window,TV",STATE,415.618,418.120,2.502,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Other behaviours,Human,,STATE,424.120,425.620,1.500,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,425.374,435.625,10.251,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,426.621,429.124,2.503,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Environment,Turning,Environment,,STATE,448.122,464.567,16.445,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look around,Human,TV,STATE,461.368,470.372,9.004,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,465.621,468.872,3.251,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,476.872,479.124,2.252,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look around,Human,TV,STATE,487.371,501.119,13.748,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look around,Human,TV,STATE,532.117,542.874,10.757,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Other behaviours,Human,,STATE,532.371,534.372,2.001,SMILE,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,539.622,542.375,2.753,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,549.123,552.870,3.747,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,559.369,562.869,3.500,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look around,Human,TV,STATE,564.369,570.124,5.755,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Deceleration,Vehicle,,STATE,596.872,599.368,2.496,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look around,Human,TV,STATE,597.369,627.120,29.751,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,607.872,611.372,3.500,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,624.370,628.368,3.998,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look around,Human,TV,STATE,632.873,648.624,15.751,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,648.622,652.871,4.249,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Human,Look around,Human,TV,STATE,659.120,667.370,8.250,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,690.121,694.120,3.999,,
06no,2022-10-25 23:04:26,Participant 06 without prototype,syn-gp06-no.mp4,707.820,30.0,Rainy,Vehicle,End of the trial,,,POINT,707.469,707.469,NA,,
