Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
23no,2022-10-20 13:20:48,Participant 23 without prototype,syn-nikkie23-no.mp4,712.470,30.0,Sunny,Human,Look up,Human,TV,STATE,4.121,5.618,1.497,,
23no,2022-10-20 13:20:48,Participant 23 without prototype,syn-nikkie23-no.mp4,712.470,30.0,Sunny,Human,Other behaviours,Human,,STATE,7.870,8.369,0.499,SMILE,
23no,2022-10-20 13:20:48,Participant 23 without prototype,syn-nikkie23-no.mp4,712.470,30.0,Sunny,Human,Look up,Human,TV,STATE,8.867,9.623,0.756,,
23no,2022-10-20 13:20:48,Participant 23 without prototype,syn-nikkie23-no.mp4,712.470,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,11.869,14.120,2.251,,
23no,2022-10-20 13:20:48,Participant 23 without prototype,syn-nikkie23-no.mp4,712.470,30.0,Sunny,Human,Look up,Human,TV,STATE,12.785,13.525,0.740,,
23no,2022-10-20 13:20:48,Participant 23 without prototype,syn-nikkie23-no.mp4,712.470,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,20.061,23.369,3.308,,
23no,2022-10-20 13:20:48,Participant 23 without prototype,syn-nikkie23-no.mp4,712.470,30.0,Sunny,Human,Other behaviours,Human,,STATE,20.117,22.373,2.256,SMILE,
23no,2022-10-20 13:20:48,Participant 23 without prototype,syn-nikkie23-no.mp4,712.470,30.0,Sunny,Human,Other behaviours,Human,,STATE,31.619,32.369,0.750,SMILE,
23no,2022-10-20 13:20:48,Participant 23 without prototype,syn-nikkie23-no.mp4,712.470,30.0,Sunny,Human,Look up,Human,TV,STATE,32.619,33.870,1.251,,
23no,2022-10-20 13:20:48,Participant 23 without prototype,syn-nikkie23-no.mp4,712.470,30.0,Sunny,Human,Look up,Human,TV,STATE,35.118,37.369,2.251,,
