Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,21.159,24.656,3.497,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look up,Human,"window,TV",STATE,32.120,33.632,1.512,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look around,Human,TV,STATE,38.621,42.376,3.755,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,40.154,45.157,5.003,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look around,Human,TV,STATE,101.339,106.875,5.536,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,103.369,104.872,1.503,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look around,Human,TV,STATE,109.368,112.619,3.251,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Environment,Trucks,Environment,,STATE,112.777,119.624,6.847,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look up,Human,TV,STATE,121.618,122.870,1.252,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,136.122,138.623,2.501,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,178.620,181.624,3.004,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look around,Human,TV,STATE,179.126,182.874,3.748,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look up,Human,TV,STATE,187.625,188.622,0.997,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look up,Human,TV,STATE,192.626,193.621,0.995,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Environment,Trucks,Environment,,STATE,202.872,212.626,9.754,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look up,Human,TV,STATE,214.874,216.625,1.751,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,229.374,232.380,3.006,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Environment,Trucks,Environment,,STATE,232.069,239.626,7.557,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look up,Human,TV,STATE,238.533,239.000,0.467,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look up,Human,TV,STATE,241.900,242.167,0.267,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,273.125,276.138,3.013,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Environment,Trucks,Environment,,STATE,274.873,285.873,11.000,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look up,Human,TV,STATE,277.627,280.378,2.751,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,287.371,289.623,2.252,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look up,Human,TV,STATE,314.867,315.400,0.533,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look around,Human,TV,STATE,316.133,319.900,3.767,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look up,Human,window,STATE,321.100,322.267,1.167,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look up,Human,TV,STATE,323.300,323.833,0.533,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,333.121,335.120,1.999,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Environment,Trucks,Environment,,STATE,342.377,348.379,6.002,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Environment,Trucks,Environment,,STATE,355.621,359.872,4.251,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look around,Human,TV,STATE,361.869,367.872,6.003,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,364.873,367.619,2.746,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,383.621,386.872,3.251,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,402.130,405.130,3.000,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Environment,Turning,Environment,,STATE,428.371,440.875,12.504,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look up,Human,TV,STATE,431.386,432.627,1.241,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look up,Human,window,STATE,433.500,434.600,1.100,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look around,Human,"window,TV",STATE,436.467,455.000,18.533,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look up,Human,None,STATE,467.833,468.133,0.300,"STEERING WHEEL
",
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Environment,Turning,Environment,,STATE,475.367,491.627,16.260,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look up,Human,window,STATE,480.871,482.123,1.252,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look up,Human,TV,STATE,504.120,505.374,1.254,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,507.372,509.876,2.504,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look up,Human,TV,STATE,509.624,511.378,1.754,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,545.372,546.871,1.499,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,562.126,564.127,2.001,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look up,Human,TV,STATE,586.122,588.874,2.752,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look up,Human,TV,STATE,591.122,591.622,0.500,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Look around,Human,window,STATE,626.872,631.622,4.750,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Human,Other behaviours,Human,,STATE,626.872,631.622,4.750,sneeze,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,628.118,631.124,3.006,,
34with,2022-10-25 22:13:32,Participant 34 with prototype,syn-gp34-with.mp4,755.430,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,636.129,638.619,2.490,,
