Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
29no,2022-10-24 01:29:47,Participant 29 without prototype,syn-nikkie29-no.mp4,770.520,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,17.156,20.158,3.002,,
29no,2022-10-24 01:29:47,Participant 29 without prototype,syn-nikkie29-no.mp4,770.520,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,29.661,34.155,4.494,,
29no,2022-10-24 01:29:47,Participant 29 without prototype,syn-nikkie29-no.mp4,770.520,30.0,Sunny,Human,Look up,Human,TV,STATE,44.369,45.619,1.250,,
29no,2022-10-24 01:29:47,Participant 29 without prototype,syn-nikkie29-no.mp4,770.520,30.0,Sunny,Human,Look up,Human,TV,STATE,58.304,59.370,1.066,,
29no,2022-10-24 01:29:47,Participant 29 without prototype,syn-nikkie29-no.mp4,770.520,30.0,Sunny,Human,Look around,Human,TV,STATE,80.617,85.368,4.751,,
29no,2022-10-24 01:29:47,Participant 29 without prototype,syn-nikkie29-no.mp4,770.520,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,89.784,95.620,5.836,,
29no,2022-10-24 01:29:47,Participant 29 without prototype,syn-nikkie29-no.mp4,770.520,30.0,Sunny,Human,Look up,Human,"window,TV",STATE,90.246,91.369,1.123,,
29no,2022-10-24 01:29:47,Participant 29 without prototype,syn-nikkie29-no.mp4,770.520,30.0,Sunny,Human,Look around,Human,"window,TV",STATE,92.367,95.371,3.004,,
29no,2022-10-24 01:29:47,Participant 29 without prototype,syn-nikkie29-no.mp4,770.520,30.0,Sunny,Human,Look around,Human,"window,TV",STATE,96.367,110.370,14.003,,
29no,2022-10-24 01:29:47,Participant 29 without prototype,syn-nikkie29-no.mp4,770.520,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,103.123,106.618,3.495,,
29no,2022-10-24 01:29:47,Participant 29 without prototype,syn-nikkie29-no.mp4,770.520,30.0,Sunny,Human,Look up,Human,TV,STATE,143.000,143.868,0.868,,
29no,2022-10-24 01:29:47,Participant 29 without prototype,syn-nikkie29-no.mp4,770.520,30.0,Sunny,Human,Look up,Human,TV,STATE,157.868,159.120,1.252,,
29no,2022-10-24 01:29:47,Participant 29 without prototype,syn-nikkie29-no.mp4,770.520,30.0,Sunny,Human,Look up,Human,TV,STATE,165.868,166.619,0.751,,
29no,2022-10-24 01:29:47,Participant 29 without prototype,syn-nikkie29-no.mp4,770.520,30.0,Sunny,Human,Look up,Human,TV,STATE,171.409,172.870,1.461,,
29no,2022-10-24 01:29:47,Participant 29 without prototype,syn-nikkie29-no.mp4,770.520,30.0,Sunny,Environment,Construction,Environment,,STATE,171.868,264.120,92.252,,
29no,2022-10-24 01:29:47,Participant 29 without prototype,syn-nikkie29-no.mp4,770.520,30.0,Sunny,Human,Look up,Human,TV,STATE,176.618,178.118,1.500,,
29no,2022-10-24 01:29:47,Participant 29 without prototype,syn-nikkie29-no.mp4,770.520,30.0,Sunny,Human,Other behaviours,Human,,STATE,177.002,179.624,2.622,"SMILE;BUT AFTER LOOK UP
",
29no,2022-10-24 01:29:47,Participant 29 without prototype,syn-nikkie29-no.mp4,770.520,30.0,Sunny,Human,Look up,Human,TV,STATE,189.267,190.868,1.601,,
29no,2022-10-24 01:29:47,Participant 29 without prototype,syn-nikkie29-no.mp4,770.520,30.0,Sunny,Human,Look around,Human,TV,STATE,210.999,224.367,13.368,,
29no,2022-10-24 01:29:47,Participant 29 without prototype,syn-nikkie29-no.mp4,770.520,30.0,Sunny,Human,Look up,Human,TV,STATE,261.100,263.250,2.150,,
