Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,25.118,30.372,5.254,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Human,Look around,Human,window,STATE,41.045,48.118,7.073,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Human,Look around,Human,"window,TV",STATE,51.426,63.868,12.442,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Human,Look around,Human,"window,TV",STATE,67.224,106.618,39.394,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,93.118,95.868,2.750,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,98.121,100.619,2.498,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,107.370,109.117,1.747,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Human,Look up,Human,"window,TV",STATE,129.226,131.367,2.141,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Human,Look around,Human,"window,TV",STATE,134.319,154.466,20.147,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Environment,Construction,Environment,,STATE,137.618,182.765,45.147,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Environment,Trucks,Environment,,STATE,178.371,186.369,7.998,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Human,Look up,Human,window,STATE,182.557,184.369,1.812,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Human,Look up,Human,window,STATE,219.840,220.368,0.528,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Human,Look up,Human,"window,TV",STATE,224.924,227.367,2.443,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Environment,Trucks,Environment,,STATE,225.767,229.867,4.100,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Human,Look up,Human,TV,STATE,228.032,229.117,1.085,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Human,Look around,Human,window,STATE,272.118,283.617,11.499,Looked up because of truck passing by.,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Environment,Trucks,Environment,,STATE,274.533,286.150,11.617,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,289.400,291.900,2.500,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Human,Look around,Human,"window,TV",STATE,295.546,300.800,5.254,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,298.234,300.900,2.666,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Human,Look around,Human,"window,TV",STATE,307.250,322.801,15.551,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Environment,Trucks,Environment,,STATE,322.061,323.210,1.149,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Human,Look up,Human,window,STATE,326.800,327.303,0.503,,
01no,2022-10-07 11:10:55,Partipant 01 without prototype,syn-nikkie01-no.mp4,788.540,30.0,Sunny,Human,Look around,Human,"window,TV",STATE,330.229,343.869,13.640,,
