Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Human,Look up,Human,TV,STATE,0.374,0.901,0.527,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Human,Look up,Human,TV,STATE,2.002,2.505,0.503,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Human,Look up,Human,TV,STATE,12.340,13.003,0.663,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Human,Look up,Human,TV,STATE,21.562,22.372,0.810,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Human,Look up,Human,TV,STATE,25.702,26.873,1.171,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Human,Look up,Human,TV,STATE,30.990,31.623,0.633,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Human,Look up,Human,TV,STATE,40.912,41.369,0.457,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Human,Look up,Human,TV,STATE,45.518,46.617,1.099,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,51.620,53.619,1.999,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Human,Look up,Human,TV,STATE,53.074,54.619,1.545,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Human,Look up,Human,TV,STATE,59.093,60.369,1.276,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Human,Look up,Human,TV,STATE,65.227,65.872,0.645,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Human,Look up,Human,TV,STATE,74.325,75.120,0.795,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Human,Look up,Human,TV,STATE,81.867,82.868,1.001,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Human,Look up,Human,TV,STATE,85.495,86.369,0.874,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Human,Look up,Human,TV,STATE,91.605,92.367,0.762,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Human,Look up,Human,TV,STATE,94.120,96.120,2.000,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Human,Look up,Human,TV,STATE,97.117,99.117,2.000,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Human,Look up,Human,TV,STATE,102.383,103.869,1.486,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,103.630,106.130,2.500,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Human,Look up,Human,TV,STATE,104.798,105.368,0.570,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Human,Look up,Human,TV,STATE,112.039,113.119,1.080,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Human,Look up,Human,TV,STATE,119.512,120.371,0.859,,
09no,2022-10-11 21:58:02,Participant 09 without protoype,syn-nikkie09-no.mp4,738.470,30.0,Sunny,Human,Look up,Human,TV,STATE,120.618,122.368,1.750,,
