Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
33no,2022-10-25 12:06:36,Participant 33 without prototype,syn-gp33-no.mp4,758.610,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,17.654,20.658,3.004,,
33no,2022-10-25 12:06:36,Participant 33 without prototype,syn-gp33-no.mp4,758.610,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,38.658,41.656,2.998,,
33no,2022-10-25 12:06:36,Participant 33 without prototype,syn-gp33-no.mp4,758.610,30.0,Cloudy,Human,Look up,Human,TV,STATE,41.667,43.067,1.400,,
33no,2022-10-25 12:06:36,Participant 33 without prototype,syn-gp33-no.mp4,758.610,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,98.152,100.153,2.001,,
33no,2022-10-25 12:06:36,Participant 33 without prototype,syn-gp33-no.mp4,758.610,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,111.374,113.872,2.498,,
33no,2022-10-25 12:06:36,Participant 33 without prototype,syn-gp33-no.mp4,758.610,30.0,Cloudy,Human,Look up,Human,TV,STATE,114.767,115.233,0.466,,
33no,2022-10-25 12:06:36,Participant 33 without prototype,syn-gp33-no.mp4,758.610,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,179.869,183.869,4.000,,
33no,2022-10-25 12:06:36,Participant 33 without prototype,syn-gp33-no.mp4,758.610,30.0,Cloudy,Human,Look up,Human,"window,TV",STATE,184.567,191.133,6.566,,
33no,2022-10-25 12:06:36,Participant 33 without prototype,syn-gp33-no.mp4,758.610,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,188.618,192.118,3.500,,
33no,2022-10-25 12:06:36,Participant 33 without prototype,syn-gp33-no.mp4,758.610,30.0,Cloudy,Human,Look up,Human,TV,STATE,206.500,207.867,1.367,,
33no,2022-10-25 12:06:36,Participant 33 without prototype,syn-gp33-no.mp4,758.610,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,293.371,296.377,3.006,,
33no,2022-10-25 12:06:36,Participant 33 without prototype,syn-gp33-no.mp4,758.610,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,299.871,302.877,3.006,,
33no,2022-10-25 12:06:36,Participant 33 without prototype,syn-gp33-no.mp4,758.610,30.0,Cloudy,Human,Look up,Human,TV,STATE,305.033,305.933,0.900,,
33no,2022-10-25 12:06:36,Participant 33 without prototype,syn-gp33-no.mp4,758.610,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,323.622,326.626,3.004,,
33no,2022-10-25 12:06:36,Participant 33 without prototype,syn-gp33-no.mp4,758.610,30.0,Cloudy,Environment,Trucks,Environment,,STATE,362.133,367.133,5.000,,
33no,2022-10-25 12:06:36,Participant 33 without prototype,syn-gp33-no.mp4,758.610,30.0,Cloudy,Environment,Trucks,Environment,,STATE,371.833,376.867,5.034,,
