Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Human,Look up,Human,TV,STATE,11.413,12.413,1.000,,
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,12.162,14.664,2.502,,
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Human,Look up,Human,"window,TV",STATE,12.833,15.581,2.748,,
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Human,Look up,Human,TV,STATE,16.668,18.425,1.757,,
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Human,Look up,Human,TV,STATE,19.973,21.298,1.325,,
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,21.171,24.921,3.750,,
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Human,Look up,Human,TV,STATE,21.792,24.256,2.464,,
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Human,Look up,Human,TV,STATE,27.721,29.471,1.750,,
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Human,Look up,Human,TV,STATE,33.016,34.017,1.001,,
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Human,Look up,Human,TV,STATE,36.449,37.395,0.946,,
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Human,Look up,Human,TV,STATE,40.913,41.521,0.608,,
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Human,Look up,Human,TV,STATE,43.507,44.859,1.352,,
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Human,Other behaviours,Human,,STATE,44.989,45.988,0.999,Smile,
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Human,Look up,Human,TV,STATE,45.988,47.199,1.211,,
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Human,Look up,Human,TV,STATE,49.534,51.285,1.751,,
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Human,Look up,Human,TV,STATE,57.457,59.209,1.752,,
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Human,Look around,Human,TV,STATE,61.544,66.045,4.501,,
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Human,Look up,Human,TV,STATE,72.807,74.058,1.251,,
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Human,Other behaviours,Human,,STATE,76.894,80.143,3.249,Smile,
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Human,Look around,Human,TV,STATE,79.771,84.780,5.009,,
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Human,Look up,Human,"window,TV",STATE,86.739,89.447,2.708,A car close in the very next lane,
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Human,Look around,Human,"window,TV",STATE,91.993,100.493,8.500,,
21with,2022-10-19 11:02:53,Participant 21 with prototype,syn-gp21-with.mp4,764.610,23.98,Sunny,Human,Look around,Human,"window,TV",STATE,103.299,108.341,5.042,,
