Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
25no,2022-10-21 14:56:26,Participant 25 without prototype,syn-25gp-no.mp4,808.060,23.98,Rainy,Human,Look up,Human,TV,STATE,4.947,5.699,0.752,,
25no,2022-10-21 14:56:26,Participant 25 without prototype,syn-25gp-no.mp4,808.060,23.98,Rainy,Human,Look up,Human,TV,STATE,14.817,17.409,2.592,,
25no,2022-10-21 14:56:26,Participant 25 without prototype,syn-25gp-no.mp4,808.060,23.98,Rainy,Vehicle,Lane change,Vehicle,,STATE,17.450,19.954,2.504,,
25no,2022-10-21 14:56:26,Participant 25 without prototype,syn-25gp-no.mp4,808.060,23.98,Rainy,Human,Look up,Human,TV,STATE,18.587,21.087,2.500,,
25no,2022-10-21 14:56:26,Participant 25 without prototype,syn-25gp-no.mp4,808.060,23.98,Rainy,Human,Look up,Human,TV,STATE,27.720,30.588,2.868,,
25no,2022-10-21 14:56:26,Participant 25 without prototype,syn-25gp-no.mp4,808.060,23.98,Rainy,Vehicle,Lane change,Vehicle,,STATE,32.430,35.921,3.491,,
25no,2022-10-21 14:56:26,Participant 25 without prototype,syn-25gp-no.mp4,808.060,23.98,Rainy,Human,Look up,Human,TV,STATE,34.668,37.395,2.727,,
25no,2022-10-21 14:56:26,Participant 25 without prototype,syn-25gp-no.mp4,808.060,23.98,Rainy,Vehicle,Lane change,Vehicle,,STATE,53.204,56.702,3.498,,
25no,2022-10-21 14:56:26,Participant 25 without prototype,syn-25gp-no.mp4,808.060,23.98,Rainy,Human,Look around,Human,TV,STATE,53.621,64.674,11.053,,
25no,2022-10-21 14:56:26,Participant 25 without prototype,syn-25gp-no.mp4,808.060,23.98,Rainy,Human,Look up,Human,TV,STATE,66.341,69.091,2.750,,
25no,2022-10-21 14:56:26,Participant 25 without prototype,syn-25gp-no.mp4,808.060,23.98,Rainy,Vehicle,Lane change,Vehicle,,STATE,66.424,69.675,3.251,,
25no,2022-10-21 14:56:26,Participant 25 without prototype,syn-25gp-no.mp4,808.060,23.98,Rainy,Human,Look around,Human,TV,STATE,69.736,72.929,3.193,,
25no,2022-10-21 14:56:26,Participant 25 without prototype,syn-25gp-no.mp4,808.060,23.98,Rainy,Human,Look around,Human,TV,STATE,74.331,78.016,3.685,,
