Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look up,Human,TV,STATE,1.645,3.620,1.975,"And interior
Moved his body and looked at the direction",
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look up,Human,TV,STATE,12.620,13.623,1.003,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look up,Human,TV,STATE,25.600,27.833,2.233,Glanced at ipad once,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,27.662,30.159,2.497,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look up,Human,TV,STATE,28.766,29.867,1.101,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,43.876,47.373,3.497,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look up,Human,TV,STATE,47.369,48.374,1.005,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Other behaviours,Human,,STATE,96.447,98.875,2.428,smile,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,99.121,102.121,3.000,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look up,Human,"window,TV",STATE,131.255,134.123,2.868,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,140.873,143.871,2.998,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look around,Human,"window,TV",STATE,162.733,168.933,6.200,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Other behaviours,Human,,STATE,164.033,167.067,3.034,yawn,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look around,Human,TV,STATE,170.000,174.833,4.833,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,173.368,176.371,3.003,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look up,Human,TV,STATE,175.567,178.133,2.566,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,187.875,190.371,2.496,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,274.369,277.372,3.003,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,286.122,289.621,3.499,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look up,Human,"window,TV",STATE,293.375,296.125,2.750,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look around,Human,TV,STATE,296.873,301.633,4.760,First looked at prototype,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look up,Human,TV,STATE,321.500,323.400,1.900,"Glance at ipad once
",
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look up,Human,None,STATE,324.300,325.700,1.400,Only look at prototype,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look around,Human,TV,STATE,327.000,330.333,3.333,Glance at ipad once,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,331.372,333.374,2.002,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look up,Human,TV,STATE,332.033,333.567,1.534,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look around,Human,"window,TV",STATE,335.767,365.369,29.602,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Other behaviours,Human,,STATE,350.372,355.371,4.999,Ask Question,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look up,Human,TV,STATE,386.233,387.033,0.800,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,387.122,390.625,3.503,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look up,Human,TV,STATE,387.900,388.400,0.500,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look up,Human,TV,STATE,397.267,398.067,0.800,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,397.623,400.122,2.499,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look up,Human,TV,STATE,403.633,404.467,0.834,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look up,Human,TV,STATE,407.600,408.267,0.667,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look around,Human,TV,STATE,409.033,412.167,3.134,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,411.619,414.622,3.003,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Environment,Turning,Environment,,STATE,434.122,448.871,14.749,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Environment,Turning,Environment,,STATE,484.123,501.870,17.747,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look up,Human,TV,STATE,519.400,519.967,0.567,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,520.371,523.374,3.003,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look up,Human,TV,STATE,532.000,532.867,0.867,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,561.627,565.124,3.497,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look up,Human,TV,STATE,562.700,564.867,2.167,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Other behaviours,Human,,STATE,567.621,569.867,2.246,,check time with watch
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Human,Look up,Human,TV,STATE,571.333,572.500,1.167,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,572.124,575.124,3.000,,
33with,2022-10-25 20:38:30,Participant 33 with ptototype,syn-nikkie33-with.mp4,773.120,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,663.625,666.625,3.000,,
