Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
18no,2022-10-16 15:02:12,Participant 18 without prototype,syn-nikkie18-no.mp4,697.070,30.0,Sunny,Human,Look up,Human,TV,STATE,3.869,4.128,0.259,,
18no,2022-10-16 15:02:12,Participant 18 without prototype,syn-nikkie18-no.mp4,697.070,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,7.370,10.870,3.500,,
18no,2022-10-16 15:02:12,Participant 18 without prototype,syn-nikkie18-no.mp4,697.070,30.0,Sunny,Human,Look up,Human,TV,STATE,17.174,18.870,1.696,,
18no,2022-10-16 15:02:12,Participant 18 without prototype,syn-nikkie18-no.mp4,697.070,30.0,Sunny,Human,Look up,Human,TV,STATE,23.518,24.871,1.353,,
18no,2022-10-16 15:02:12,Participant 18 without prototype,syn-nikkie18-no.mp4,697.070,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,29.372,34.376,5.004,,
18no,2022-10-16 15:02:12,Participant 18 without prototype,syn-nikkie18-no.mp4,697.070,30.0,Sunny,Human,Look up,Human,TV,STATE,49.485,50.926,1.441,,
18no,2022-10-16 15:02:12,Participant 18 without prototype,syn-nikkie18-no.mp4,697.070,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,78.620,81.623,3.003,,
18no,2022-10-16 15:02:12,Participant 18 without prototype,syn-nikkie18-no.mp4,697.070,30.0,Sunny,Human,Look around,Human,TV,STATE,78.959,82.620,3.661,,
18no,2022-10-16 15:02:12,Participant 18 without prototype,syn-nikkie18-no.mp4,697.070,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,84.121,87.118,2.997,,
18no,2022-10-16 15:02:12,Participant 18 without prototype,syn-nikkie18-no.mp4,697.070,30.0,Sunny,Human,Look up,Human,TV,STATE,84.924,87.123,2.199,,
18no,2022-10-16 15:02:12,Participant 18 without prototype,syn-nikkie18-no.mp4,697.070,30.0,Sunny,Human,Look up,Human,TV,STATE,89.396,91.120,1.724,,
18no,2022-10-16 15:02:12,Participant 18 without prototype,syn-nikkie18-no.mp4,697.070,30.0,Sunny,Human,Look around,Human,TV,STATE,95.557,112.120,16.563,,
18no,2022-10-16 15:02:12,Participant 18 without prototype,syn-nikkie18-no.mp4,697.070,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,109.622,112.124,2.502,,
18no,2022-10-16 15:02:12,Participant 18 without prototype,syn-nikkie18-no.mp4,697.070,30.0,Sunny,Human,Look up,Human,window,STATE,113.876,115.372,1.496,,
18no,2022-10-16 15:02:12,Participant 18 without prototype,syn-nikkie18-no.mp4,697.070,30.0,Sunny,Environment,Trucks,Environment,,STATE,114.120,119.869,5.749,,
18no,2022-10-16 15:02:12,Participant 18 without prototype,syn-nikkie18-no.mp4,697.070,30.0,Sunny,Human,Look up,Human,TV,STATE,119.689,121.119,1.430,,
18no,2022-10-16 15:02:12,Participant 18 without prototype,syn-nikkie18-no.mp4,697.070,30.0,Sunny,Human,Look around,Human,TV,STATE,140.371,149.181,8.810,,
18no,2022-10-16 15:02:12,Participant 18 without prototype,syn-nikkie18-no.mp4,697.070,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,140.874,143.379,2.505,,
