Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
04with,2022-10-26 02:14:54,Participant 04 with prototype,syn-gp04-with.mp4,718.810,30.0,Sunny,Human,Look around,Human,TV,STATE,0.404,15.383,14.979,And steering wheel;look down once and TRIGGERED BY STEERING WHEEL to look up again,
04with,2022-10-26 02:14:54,Participant 04 with prototype,syn-gp04-with.mp4,718.810,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,10.870,13.878,3.008,,
04with,2022-10-26 02:14:54,Participant 04 with prototype,syn-gp04-with.mp4,718.810,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,70.619,73.618,2.999,,
04with,2022-10-26 02:14:54,Participant 04 with prototype,syn-gp04-with.mp4,718.810,30.0,Sunny,Human,Look around,Human,TV,STATE,70.626,74.626,4.000,,
04with,2022-10-26 02:14:54,Participant 04 with prototype,syn-gp04-with.mp4,718.810,30.0,Sunny,Human,Other behaviours,Human,,STATE,84.120,87.369,3.249,Touch face,
04with,2022-10-26 02:14:54,Participant 04 with prototype,syn-gp04-with.mp4,718.810,30.0,Sunny,Human,Look around,Human,TV,STATE,84.874,89.800,4.926,,
04with,2022-10-26 02:14:54,Participant 04 with prototype,syn-gp04-with.mp4,718.810,30.0,Sunny,Human,Look around,Human,TV,STATE,91.700,97.871,6.171,,
04with,2022-10-26 02:14:54,Participant 04 with prototype,syn-gp04-with.mp4,718.810,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,92.124,94.873,2.749,,
04with,2022-10-26 02:14:54,Participant 04 with prototype,syn-gp04-with.mp4,718.810,30.0,Sunny,Human,Look around,Human,TV,STATE,100.567,110.379,9.812,,
04with,2022-10-26 02:14:54,Participant 04 with prototype,syn-gp04-with.mp4,718.810,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,101.371,103.372,2.001,,
04with,2022-10-26 02:14:54,Participant 04 with prototype,syn-gp04-with.mp4,718.810,30.0,Sunny,Human,Look around,Human,window,STATE,124.233,127.372,3.139,,
04with,2022-10-26 02:14:54,Participant 04 with prototype,syn-gp04-with.mp4,718.810,30.0,Sunny,Human,Look up,Human,TV,STATE,129.033,130.600,1.567,,
