Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,4.949,5.947,0.998,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,7.117,8.326,1.209,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,9.327,11.328,2.001,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,10.002,11.284,1.282,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,13.664,14.914,1.250,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,15.325,18.829,3.504,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,15.326,16.248,0.922,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,17.462,18.462,1.000,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,19.729,21.210,1.481,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,22.785,23.674,0.889,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,25.882,26.302,0.420,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,26.763,28.511,1.748,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,29.641,30.645,1.004,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,32.722,33.890,1.168,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look around,Human,TV,STATE,34.876,40.524,5.648,AND STEERING WHEEL,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,41.199,42.657,1.458,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,42.864,43.862,0.998,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,46.291,48.870,2.579,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,50.825,51.579,0.754,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,54.993,55.580,0.587,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,59.418,60.168,0.750,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look around,Human,TV,STATE,61.686,66.300,4.614,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look around,Human,TV,STATE,67.274,71.965,4.691,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look around,Human,TV,STATE,72.811,83.811,11.000,AND STEERING WHEEL,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,84.320,85.319,0.999,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,86.821,89.070,2.249,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,91.820,92.820,1.000,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,93.698,96.447,2.749,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look around,Human,"window,TV",STATE,93.703,102.959,9.256,Triggered by harsh lane changing,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look around,Human,TV,STATE,103.514,104.059,0.545,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,104.515,107.212,2.697,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,104.708,107.208,2.500,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,107.594,108.344,0.750,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,109.050,109.300,0.250,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,110.012,111.059,1.047,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,111.214,111.683,0.469,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look around,Human,TV,STATE,112.714,125.319,12.605,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,112.889,115.391,2.502,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,126.570,127.117,0.547,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,127.138,130.642,3.504,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look around,Human,TV,STATE,127.736,137.946,10.210,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,142.683,143.336,0.653,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,143.839,144.591,0.752,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,145.084,146.085,1.001,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,147.069,147.836,0.767,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,149.087,149.883,0.796,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Environment,Trucks,Environment,,STATE,149.140,157.898,8.758,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,151.066,151.762,0.696,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look around,Human,TV,STATE,153.638,171.633,17.995,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Environment,Construction,Environment,,STATE,165.641,218.144,52.503,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,172.619,173.620,1.001,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look around,Human,TV,STATE,173.918,184.498,10.580,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,189.246,191.241,1.995,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,195.173,196.747,1.574,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,198.476,199.728,1.252,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,216.265,216.974,0.709,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,216.284,219.034,2.750,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,217.408,218.661,1.253,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,222.755,223.878,1.123,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,226.336,226.796,0.460,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,236.007,236.754,0.747,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,241.596,242.027,0.431,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,243.107,243.859,0.752,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,244.814,245.813,0.999,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,247.188,247.966,0.778,,
14with,2022-10-14 17:17:11,Participant 14 with prototype,syn-gp14-with.mp4,739.110,23.98,Sunny,Human,Look up,Human,TV,STATE,248.864,249.358,0.494,,
