Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
29with,2022-10-24 02:54:34,Participant 29 with prototype,syn-nikkie29-with.mp4,780.120,30.0,,Vehicle,Lane change,Vehicle,,STATE,20.160,23.163,3.003,,
29with,2022-10-24 02:54:34,Participant 29 with prototype,syn-nikkie29-with.mp4,780.120,30.0,,Vehicle,Lane change,Vehicle,,STATE,36.661,40.664,4.003,,
29with,2022-10-24 02:54:34,Participant 29 with prototype,syn-nikkie29-with.mp4,780.120,30.0,,Human,Other behaviours,Human,,STATE,41.183,45.369,4.186,SMILE,
29with,2022-10-24 02:54:34,Participant 29 with prototype,syn-nikkie29-with.mp4,780.120,30.0,,Human,Look up,Human,TV,STATE,67.272,70.267,2.995,,
29with,2022-10-24 02:54:34,Participant 29 with prototype,syn-nikkie29-with.mp4,780.120,30.0,,Human,Other behaviours,Human,,STATE,78.369,81.369,3.000,,
29with,2022-10-24 02:54:34,Participant 29 with prototype,syn-nikkie29-with.mp4,780.120,30.0,,Human,Look around,Human,"window,TV",STATE,79.619,83.369,3.750,,
29with,2022-10-24 02:54:34,Participant 29 with prototype,syn-nikkie29-with.mp4,780.120,30.0,,Human,Look up,Human,TV,STATE,90.871,92.618,1.747,,
29with,2022-10-24 02:54:34,Participant 29 with prototype,syn-nikkie29-with.mp4,780.120,30.0,,Vehicle,Lane change,Vehicle,,STATE,93.658,99.161,5.503,,
29with,2022-10-24 02:54:34,Participant 29 with prototype,syn-nikkie29-with.mp4,780.120,30.0,,Human,Look around,Human,TV,STATE,95.621,102.372,6.751,,
29with,2022-10-24 02:54:34,Participant 29 with prototype,syn-nikkie29-with.mp4,780.120,30.0,,Human,Look around,Human,TV,STATE,117.868,123.620,5.752,,
29with,2022-10-24 02:54:34,Participant 29 with prototype,syn-nikkie29-with.mp4,780.120,30.0,,Vehicle,Lane change,Vehicle,,STATE,118.656,122.157,3.501,,
29with,2022-10-24 02:54:34,Participant 29 with prototype,syn-nikkie29-with.mp4,780.120,30.0,,Human,Look up,Human,TV,STATE,136.118,136.868,0.750,,
29with,2022-10-24 02:54:34,Participant 29 with prototype,syn-nikkie29-with.mp4,780.120,30.0,,Human,Look around,Human,TV,STATE,166.368,169.871,3.503,,
29with,2022-10-24 02:54:34,Participant 29 with prototype,syn-nikkie29-with.mp4,780.120,30.0,,Environment,Construction,Environment,,STATE,174.118,269.620,95.502,,
29with,2022-10-24 02:54:34,Participant 29 with prototype,syn-nikkie29-with.mp4,780.120,30.0,,Human,Look around,Human,TV,STATE,174.867,181.371,6.504,,
29with,2022-10-24 02:54:34,Participant 29 with prototype,syn-nikkie29-with.mp4,780.120,30.0,,Human,Look up,Human,TV,STATE,212.420,213.371,0.951,,
