Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Vehicle,Lane change,Vehicle,,STATE,14.539,17.542,3.003,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Vehicle,Lane change,Vehicle,,STATE,25.292,29.307,4.015,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Human,Look up,Human,TV,STATE,30.085,31.573,1.488,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Human,Look up,Human,TV,STATE,76.732,78.733,2.001,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Human,Other behaviours,Human,,STATE,82.062,88.402,6.340,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Vehicle,Lane change,Vehicle,,STATE,90.799,98.549,7.750,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Human,Look around,Human,TV,STATE,94.876,103.298,8.422,And steering wheel,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Vehicle,Lane change,Vehicle,,STATE,104.549,108.551,4.002,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Human,Look up,Human,TV,STATE,104.574,109.845,5.271,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Human,Look around,Human,"window,TV",STATE,110.719,114.931,4.212,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Vehicle,Lane change,Vehicle,,STATE,113.847,117.597,3.750,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Human,Look around,Human,"window,TV",STATE,115.770,129.232,13.462,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Environment,Construction,Environment,,STATE,138.122,186.504,48.382,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Human,Look around,Human,TV,STATE,169.696,182.701,13.005,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Human,Look up,Human,TV,STATE,195.567,197.194,1.627,And steering wheel,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Human,Look up,Human,TV,STATE,199.002,200.475,1.473,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Human,Look up,Human,TV,STATE,215.992,219.249,3.257,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Human,Look around,Human,"window,TV",STATE,263.960,272.135,8.175,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Human,Look around,Human,TV,STATE,273.965,278.337,4.372,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Human,Look up,Human,TV,STATE,288.440,289.689,1.249,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Human,Look around,Human,TV,STATE,298.056,318.754,20.698,AND STEERING WHEEL,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Vehicle,Lane change,Vehicle,,STATE,302.759,305.758,2.999,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Vehicle,Lane change,Vehicle,,STATE,306.757,309.756,2.999,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Human,Look around,Human,TV,STATE,319.348,321.100,1.752,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Human,Look around,Human,TV,STATE,355.702,358.133,2.431,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Vehicle,Lane change,Vehicle,,STATE,397.091,400.839,3.748,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Vehicle,Lane change,Vehicle,,STATE,403.595,406.514,2.919,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Human,Look around,Human,TV,STATE,405.964,410.692,4.728,No trigger. Maybe sort of regularly change,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Human,Look around,Human,TV,STATE,429.076,434.708,5.632,AND STEERING WHEEL,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Human,Look around,Human,TV,STATE,435.642,458.943,23.301,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Environment,Turning,Environment,,STATE,442.766,458.429,15.663,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Environment,Turning,Environment,,STATE,494.774,511.785,17.011,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Human,Look up,Human,TV,STATE,500.697,501.613,0.916,,
12no,2022-10-13 20:13:25,Participant 12 without prototype,syn-gp12-no.mp4,751.040,23.98,,Human,Look around,Human,"window,TV",STATE,514.129,541.374,27.245,"AND SR,interior",
