Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,11.122,14.118,2.996,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,18.872,21.621,2.749,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Human,Look around,Human,TV,STATE,66.869,74.120,7.251,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,80.376,82.876,2.500,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,93.373,95.880,2.507,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Human,Look around,Human,"window,TV",STATE,98.414,112.119,13.705,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,104.000,106.383,2.383,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,114.000,116.367,2.367,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Environment,Trucks,Environment,,STATE,142.400,146.867,4.467,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Environment,Construction,Environment,,STATE,153.883,232.733,78.850,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Environment,Trucks,Environment,,STATE,178.900,183.600,4.700,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Human,Look around,Human,TV,STATE,186.872,197.623,10.751,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Human,Other behaviours,Human,,STATE,189.118,195.371,6.253,Stretch and yawn,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Environment,Trucks,Environment,,STATE,189.667,191.500,1.833,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Environment,Trucks,Environment,,STATE,197.033,199.900,2.867,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Human,Look around,Human,TV,STATE,203.118,206.619,3.501,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Human,Other behaviours,Human,,STATE,203.872,205.619,1.747,Try AC,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Environment,Trucks,Environment,,STATE,227.067,231.267,4.200,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Human,Other behaviours,Human,,STATE,267.622,269.870,2.248,Touch eye and glass,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Human,Look up,Human,TV,STATE,268.368,270.067,1.699,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Human,Look around,Human,TV,STATE,271.100,274.869,3.769,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,280.871,282.871,2.000,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Human,Look around,Human,TV,STATE,282.621,300.123,17.502,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Environment,Trucks,Environment,,STATE,288.372,291.872,3.500,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,294.622,297.369,2.747,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Human,Look up,Human,TV,STATE,351.618,353.123,1.505,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,362.120,368.622,6.502,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Environment,Turning,Environment,,STATE,406.870,419.869,12.999,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Human,Look up,Human,TV,STATE,410.617,411.621,1.004,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Human,Look around,Human,"window,TV",STATE,435.119,446.121,11.002,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Human,Other behaviours,Human,,STATE,442.122,449.372,7.250,"Lean on the seat, stretch, and yawn. Looking thourgh window while this. For relax rather than info.",
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Human,Look up,Human,None,STATE,452.372,453.372,1.000,"Only steering wheel
",
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Environment,Turning,Environment,,STATE,453.620,470.870,17.250,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Human,Look around,Human,"window,TV",STATE,456.171,459.870,3.699,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,478.871,483.870,4.999,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,487.623,489.871,2.248,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Human,Look around,Human,TV,STATE,594.118,602.871,8.753,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Vehicle,Deceleration,Vehicle,,STATE,595.620,601.620,6.000,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Human,Other behaviours,Human,,STATE,635.621,652.869,17.248,"Touch hair
",
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Human,Look up,Human,TV,STATE,636.120,637.372,1.252,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,646.868,655.372,8.504,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Human,Look around,Human,TV,STATE,652.619,657.372,4.753,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Human,Other behaviours,Human,,STATE,653.372,656.621,3.249,Yawn,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,702.123,706.371,4.248,,
04no,2022-10-25 23:37:37,Participant 04 without prototype,syn-gp04-no.mp4,708.610,30.0,Sunny,Vehicle,End of the trial,,,POINT,706.373,706.373,NA,,
