Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
26with,2022-10-24 00:50:16,Participant 26 with prototype,syn-nikkie26-with.mp4,771.880,30.0,Cloudy,Human,Look up,Human,TV,STATE,7.117,11.123,4.006,,
26with,2022-10-24 00:50:16,Participant 26 with prototype,syn-nikkie26-with.mp4,771.880,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,16.121,21.121,5.000,,
26with,2022-10-24 00:50:16,Participant 26 with prototype,syn-nikkie26-with.mp4,771.880,30.0,Cloudy,Human,Look around,Human,"window,TV",STATE,19.118,24.370,5.252,,
26with,2022-10-24 00:50:16,Participant 26 with prototype,syn-nikkie26-with.mp4,771.880,30.0,Cloudy,Human,Look up,Human,"window,TV",STATE,32.393,34.869,2.476,,
26with,2022-10-24 00:50:16,Participant 26 with prototype,syn-nikkie26-with.mp4,771.880,30.0,Cloudy,Human,Look around,Human,TV,STATE,37.119,42.117,4.998,,
26with,2022-10-24 00:50:16,Participant 26 with prototype,syn-nikkie26-with.mp4,771.880,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,37.871,41.872,4.001,,
26with,2022-10-24 00:50:16,Participant 26 with prototype,syn-nikkie26-with.mp4,771.880,30.0,Cloudy,Human,Look up,Human,TV,STATE,74.867,76.619,1.752,,
26with,2022-10-24 00:50:16,Participant 26 with prototype,syn-nikkie26-with.mp4,771.880,30.0,Cloudy,Human,Look up,Human,window,STATE,77.371,78.870,1.499,,
26with,2022-10-24 00:50:16,Participant 26 with prototype,syn-nikkie26-with.mp4,771.880,30.0,Cloudy,Human,Look up,Human,None,STATE,80.370,80.619,0.249,ONLY STEERING WHEEL,
26with,2022-10-24 00:50:16,Participant 26 with prototype,syn-nikkie26-with.mp4,771.880,30.0,Cloudy,Human,Look up,Human,"window,TV",STATE,87.620,88.370,0.750,,
26with,2022-10-24 00:50:16,Participant 26 with prototype,syn-nikkie26-with.mp4,771.880,30.0,Cloudy,Human,Look up,Human,TV,STATE,92.068,92.870,0.802,,
