Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look up,Human,TV,STATE,1.448,2.333,0.885,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look up,Human,"window,TV",STATE,17.620,19.620,2.000,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,35.936,39.618,3.682,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,38.370,41.870,3.500,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Environment,Trucks,Environment,,STATE,51.600,55.122,3.522,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,54.618,67.370,12.752,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,55.372,58.623,3.251,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,87.120,89.130,2.010,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,97.475,100.868,3.393,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,97.871,101.621,3.750,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,105.620,129.033,23.413,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,106.182,109.618,3.436,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,112.622,115.122,2.500,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,119.372,122.622,3.250,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,125.872,128.375,2.503,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look around,Human,TV,STATE,130.067,135.871,5.804,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look up,Human,TV,STATE,137.871,138.372,0.501,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,151.868,163.373,11.505,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,159.372,162.872,3.500,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,178.370,181.869,3.499,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,188.369,190.869,2.500,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Other behaviours,Human,,STATE,204.343,209.118,4.775,SMILE AND TOUCH HEAD,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,226.618,232.370,5.752,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look around,Human,TV,STATE,234.123,239.767,5.644,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,238.622,241.121,2.499,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,240.333,276.600,36.267,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Environment,Trucks,Environment,,STATE,247.370,251.873,4.503,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look up,Human,TV,STATE,277.371,278.700,1.329,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,280.733,286.122,5.389,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,288.119,306.621,18.502,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,298.122,301.619,3.497,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Environment,Trucks,Environment,,STATE,310.373,315.619,5.246,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,321.370,324.879,3.509,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,333.877,336.125,2.248,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Environment,Trucks,Environment,,STATE,373.872,375.875,2.003,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look around,Human,TV,STATE,376.871,392.869,15.998,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,377.624,380.629,3.005,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,381.873,385.630,3.757,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,389.132,392.137,3.005,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Environment,Turning,Environment,,STATE,413.870,431.620,17.750,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,443.518,467.867,24.349,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,445.122,448.132,3.010,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Environment,Trucks,Environment,,STATE,448.367,453.118,4.751,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,456.372,459.872,3.500,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Environment,Turning,Environment,,STATE,467.872,484.122,16.250,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look up,Human,window,STATE,482.376,484.377,2.001,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look around,Human,TV,STATE,493.524,501.875,8.351,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,494.623,498.373,3.750,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look around,Human,TV,STATE,502.875,508.870,5.995,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,511.124,534.873,23.749,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,511.872,514.873,3.001,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,535.623,542.621,6.998,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Environment,Trucks,Environment,,STATE,546.626,550.367,3.741,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look around,Human,TV,STATE,550.121,568.621,18.500,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Environment,Trucks,Environment,,STATE,580.129,584.467,4.338,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look around,Human,TV,STATE,602.119,637.125,35.006,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Environment,Trucks,Environment,,STATE,602.881,608.128,5.247,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Deceleration,Vehicle,,STATE,616.872,619.624,2.752,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,657.867,680.623,22.756,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,660.623,664.123,3.500,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,669.372,672.373,3.001,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Environment,Trucks,Environment,,STATE,684.122,706.620,22.498,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look around,Human,"window,TV",STATE,690.120,713.121,23.001,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,Lane change,Vehicle,,STATE,724.122,727.372,3.250,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Human,Look around,Human,TV,STATE,724.868,733.122,8.254,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Environment,Trucks,Environment,,STATE,726.567,727.767,1.200,,
06with,2022-10-26 01:22:10,Participant 06 with prototype,syn-nikkie06-with.mp4,804.610,30.0,Rainy,Vehicle,End of the trial,,,POINT,733.122,733.122,NA,,
