Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,TV,STATE,7.122,8.118,0.996,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,TV,STATE,11.025,12.119,1.094,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,36.371,38.868,2.497,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,TV,STATE,37.367,38.338,0.971,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,TV,STATE,38.925,40.625,1.700,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look around,Human,TV,STATE,46.087,49.119,3.032,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,48.125,51.119,2.994,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,TV,STATE,75.868,77.871,2.003,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,TV,STATE,85.312,88.118,2.806,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,window,STATE,89.132,89.874,0.742,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,"window,TV",STATE,95.369,98.121,2.752,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,101.370,104.869,3.499,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,"window,TV",STATE,103.715,106.618,2.903,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,TV,STATE,108.092,109.868,1.776,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,TV,STATE,117.794,118.622,0.828,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,TV,STATE,121.870,123.620,1.750,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,TV,STATE,124.868,126.371,1.503,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,TV,STATE,145.869,146.869,1.000,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Environment,Trucks,Environment,,STATE,157.121,162.869,5.748,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,TV,STATE,159.599,161.117,1.518,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,TV,STATE,161.620,164.870,3.250,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,TV,STATE,175.867,176.619,0.752,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Environment,Construction,Environment,,STATE,177.872,272.624,94.752,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,TV,STATE,186.118,188.370,2.252,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,window,STATE,199.118,199.370,0.252,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,"window,TV",STATE,216.870,219.370,2.500,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,TV,STATE,220.837,222.870,2.033,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,"window,TV",STATE,231.619,233.119,1.500,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,TV,STATE,241.870,243.370,1.500,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,"window,TV",STATE,244.621,246.122,1.501,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,"window,TV",STATE,264.119,267.120,3.001,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,TV,STATE,282.870,283.875,1.005,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,TV,STATE,286.623,289.868,3.245,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,286.872,290.370,3.498,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,308.381,311.871,3.490,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,314.874,317.872,2.998,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,TV,STATE,318.581,321.619,3.038,,
17no,2022-10-15 15:41:53,Participant 17 without prototype,syn-nikkie17-no.mp4,778.580,30.0,Sunny,Human,Look up,Human,TV,STATE,337.925,338.785,0.860,,
