Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
23with,2022-10-20 22:26:42,Participant 23 with prototype,syn-nikkie23-with.mp4,685.420,30.0,Sunny,Human,Look up,Human,TV,STATE,13.120,14.133,1.013,,
23with,2022-10-20 22:26:42,Participant 23 with prototype,syn-nikkie23-with.mp4,685.420,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,14.120,17.123,3.003,,
23with,2022-10-20 22:26:42,Participant 23 with prototype,syn-nikkie23-with.mp4,685.420,30.0,Sunny,Human,Look up,Human,TV,STATE,23.267,25.869,2.602,Look down once,
23with,2022-10-20 22:26:42,Participant 23 with prototype,syn-nikkie23-with.mp4,685.420,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,23.622,27.622,4.000,,
23with,2022-10-20 22:26:42,Participant 23 with prototype,syn-nikkie23-with.mp4,685.420,30.0,Sunny,Human,Look up,Human,TV,STATE,71.119,72.619,1.500,,
23with,2022-10-20 22:26:42,Participant 23 with prototype,syn-nikkie23-with.mp4,685.420,30.0,Sunny,Human,Look up,Human,TV,STATE,77.370,78.619,1.249,,
23with,2022-10-20 22:26:42,Participant 23 with prototype,syn-nikkie23-with.mp4,685.420,30.0,Sunny,Human,Other behaviours,Human,,STATE,87.619,89.123,1.504,SMILE,
23with,2022-10-20 22:26:42,Participant 23 with prototype,syn-nikkie23-with.mp4,685.420,30.0,Sunny,Human,Look around,Human,"window,TV",STATE,89.721,101.621,11.900,,
23with,2022-10-20 22:26:42,Participant 23 with prototype,syn-nikkie23-with.mp4,685.420,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,90.119,93.122,3.003,,
23with,2022-10-20 22:26:42,Participant 23 with prototype,syn-nikkie23-with.mp4,685.420,30.0,Sunny,Human,Look around,Human,TV,STATE,110.619,121.315,10.696,Look down several times,
23with,2022-10-20 22:26:42,Participant 23 with prototype,syn-nikkie23-with.mp4,685.420,30.0,Sunny,Vehicle,Lane change,Vehicle,,STATE,116.456,119.118,2.662,,
