Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
11with,2022-10-13 16:25:41,Participant 11 with prototype,syn-nikkie11-with.mp4,761.150,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,12.124,15.370,3.246,,
11with,2022-10-13 16:25:41,Participant 11 with prototype,syn-nikkie11-with.mp4,761.150,30.0,Cloudy,Human,Look up,Human,TV,STATE,12.172,14.162,1.990,,
11with,2022-10-13 16:25:41,Participant 11 with prototype,syn-nikkie11-with.mp4,761.150,30.0,Cloudy,Vehicle,Lane change,Vehicle,,STATE,23.631,25.625,1.994,,
11with,2022-10-13 16:25:41,Participant 11 with prototype,syn-nikkie11-with.mp4,761.150,30.0,Cloudy,Human,Look up,Human,TV,STATE,23.997,25.626,1.629,,
11with,2022-10-13 16:25:41,Participant 11 with prototype,syn-nikkie11-with.mp4,761.150,30.0,Cloudy,Human,Look up,Human,TV,STATE,26.602,27.620,1.018,,
11with,2022-10-13 16:25:41,Participant 11 with prototype,syn-nikkie11-with.mp4,761.150,30.0,Cloudy,Human,Other behaviours,Human,,STATE,39.870,45.868,5.998,smile,
11with,2022-10-13 16:25:41,Participant 11 with prototype,syn-nikkie11-with.mp4,761.150,30.0,Cloudy,Human,Look up,Human,"window,TV",STATE,72.621,74.118,1.497,,
11with,2022-10-13 16:25:41,Participant 11 with prototype,syn-nikkie11-with.mp4,761.150,30.0,Cloudy,Human,Look around,Human,"window,TV",STATE,76.157,79.867,3.710,,
11with,2022-10-13 16:25:41,Participant 11 with prototype,syn-nikkie11-with.mp4,761.150,30.0,Cloudy,Human,Look around,Human,TV,STATE,82.016,87.867,5.851,,
11with,2022-10-13 16:25:41,Participant 11 with prototype,syn-nikkie11-with.mp4,761.150,30.0,Cloudy,Human,Look around,Human,"window,TV",STATE,88.517,94.874,6.357,,
